i,j,k,F,A
0,1,0,45.73,1
1,0,0,50.44,1
0,0,1,57.17,1
1,1,0,68.09,0.7
0,1,1,73.21,0.7
1,0,1,76.24,0.7
1,1,1,88.9,0.52
0,2,0,91.47,0.7
2,0,0,100.88,0.7
1,2,0,104.45,0.52
0,2,1,107.86,0.52
2,1,0,110.76,0.52
0,0,2,114.33,0.7
2,0,1,115.95,0.52
1,2,1,119.07,0.31
0,1,2,123.14,0.52
2,1,1,124.65,0.31
1,0,2,124.97,0.52
1,1,2,133.07,0.31
2,2,0,136.17,0.31
0,3,0,137.2,0.52
1,3,0,146.18,0.31
0,2,2,146.42,0.31
2,2,1,147.69,0.27
0,3,1,148.63,0.31
3,0,0,151.32,0.52
2,0,2,152.48,0.31
1,2,2,154.86,0.27
1,3,1,156.96,0.27
3,1,0,158.08,0.31
2,1,2,159.19,0.27
3,0,1,161.76,0.31
3,1,1,168.1,0.27
2,3,0,170.3,0.27
0,0,3,171.5,0.52
3,2,0,176.82,0.27
0,1,3,177.49,0.31
2,2,2,177.81,0.52
0,3,2,178.59,0.27
1,0,3,178.76,0.31
2,3,1,179.64,0.52
