i,j,k,F,A
0,1,0,45.73,1
1,0,0,50.44,1
0,0,1,57.17,1
1,1,0,68.09,0.7
0,1,1,73.21,0.7
1,0,1,76.24,0.7
1,1,1,88.9,0.52
0,2,0,91.47,0.7
2,0,0,100.88,0.7
1,2,0,104.45,0.52
0,2,1,107.86,0.52
2,1,0,110.76,0.52
0,0,2,114.33,0.7
2,0,1,115.95,0.52
1,2,1,119.07,0.31
0,1,2,123.14,0.52
2,1,1,124.65,0.31
1,0,2,124.97,0.52
1,1,2,133.07,0.31
2,2,0,136.17,0.31
0,3,0,137.2,0.52
1,3,0,146.18,0.31
0,2,2,146.42,0.31
2,2,1,147.69,0.27
0,3,1,148.63,0.31
3,0,0,151.32,0.52
2,0,2,152.48,0.31
1,2,2,154.86,0.27
1,3,1,156.96,0.27
3,1,0,158.08,0.31
2,1,2,159.19,0.27
3,0,1,161.76,0.31
3,1,1,168.1,0.27
2,3,0,170.3,0.27
0,0,3,171.5,0.52
3,2,0,176.82,0.27
0,1,3,177.49,0.31
2,2,2,177.81,0.23
0,3,2,178.59,0.27
1,0,3,178.76,0.31
2,3,1,179.64,0.23
0,4,0,182.93,0.31
1,1,3,184.52,0.27
1,3,2,185.58,0.23
3,2,1,185.83,0.23
3,0,2,189.66,0.27
1,4,0,189.76,0.27
0,4,1,191.66,0.27
0,2,3,194.37,0.27
3,1,2,195.1,0.23
1,4,1,198.18,0.23
2,0,3,198.97,0.27
1,2,3,200.81,0.23
4,0,0,201.76,0.31
2,1,3,204.16,0.23
3,3,0,204.26,0.23
2,3,2,205.12,0.2
4,1,0,206.88,0.27
2,4,0,208.91,0.23
4,0,1,209.71,0.27
3,2,2,210.56,0.2
3,3,1,212.11,0.2
4,1,1,214.64,0.23
0,4,2,215.72,0.23
2,4,1,216.59,0.2
2,2,3,218.99,0.2
0,3,3,219.63,0.23
4,2,0,221.53,0.23
1,4,2,221.54,0.2
1,3,3,225.35,0.2
0,0,4,228.67,0.31
0,5,0,228.67,0.27
3,0,3,228.72,0.23
4,2,1,228.79,0.2
4,0,2,231.91,0.23
0,1,4,233.2,0.27
3,1,3,233.24,0.2
3,3,2,234.08,0.18
1,0,4,234.16,0.27
1,5,0,234.16,0.23
0,5,1,235.7,0.23
4,1,2,236.37,0.2
3,4,0,237.41,0.2
2,4,2,238.15,0.18
1,1,4,238.59,0.23
1,5,1,241.04,0.2
2,3,3,241.69,0.18
4,3,0,243.99,0.2
3,4,1,244.2,0.18
0,2,4,246.28,0.23
3,2,3,246.33,0.18
4,2,2,249.29,0.18
2,0,4,249.93,0.23
2,5,0,249.93,0.2
4,3,1,250.6,0.18
0,4,3,250.75,0.2
1,2,4,251.39,0.2
5,0,0,252.21,0.27
2,1,4,254.08,0.2
0,5,2,255.66,0.2
1,4,3,255.78,0.18
5,1,0,256.32,0.23
2,5,1,256.39,0.18
5,0,1,258.6,0.23
1,5,2,260.59,0.18
5,1,1,262.62,0.2
3,4,2,263.51,0.17
4,0,3,264.8,0.2
2,2,4,266.14,0.18
0,3,4,266.67,0.2
3,3,3,266.71,0.17
5,2,0,268.28,0.2
4,1,3,268.72,0.18
4,3,2,269.45,0.17
2,4,3,270.29,0.17
1,3,4,271.4,0.18
4,4,0,272.35,0.18
3,0,4,274.2,0.2
3,5,0,274.2,0.18
5,2,1,274.3,0.18
0,6,0,274.4,0.23
2,5,2,274.84,0.17
5,0,2,276.91,0.2
